starName,2015January,2015February,2015March,2015April,2015May,2015June,2015July,2015August,2015September,2015October,2015November,2015December,2016January
Xiang Liu,6910308,6992961,21012894,25864756,47591020,88855523,42122807,36709815,14287552,14618938,13802469,29257821,32135903
Zetao Ning,545469,9070361,1987368,710028,4394747,466423,600362,63237973,15451547,9640679,7500685,4356939,15065080
Kobe,47743614,28386227,35149944,38207880,57117079,60682333,70262862,62104529,48079567,65544265,75977173,106089096,79009527
Cury,26601660,24027325,41658985,49997344,68132760,88991278,61349206,67359347,55910926,59902675,105317879,108244213,86985112
